Question,Option1,Option2,Option3,Option4,CorrectIndex
"Which drug is a selective COX-2 inhibitor?",Aspirin,Celecoxib,Ibuprofen,Naproxen,1
"What is the mechanism of action of ACE inhibitors?",Block calcium channels,Inhibit angiotensin converting enzyme,Block beta receptors,Inhibit sodium channels,1
"Which antibiotic inhibits protein synthesis by binding to 30S ribosomal subunit?",Penicillin,Streptomycin,Vancomycin,Metronidazole,1
"What is the antidote for warfarin overdose?",Protamine sulfate,Vitamin K,Naloxone,Flumazenil,1
"Which drug is used to treat opioid overdose?",Flumazenil,Naloxone,Atropine,Epinephrine,1
"What class of drug is metformin?",Sulfonylurea,Biguanide,Thiazolidinedione,Alpha-glucosidase inhibitor,1
"Which neurotransmitter is primarily affected by SSRIs?",Dopamine,Serotonin,Norepinephrine,GABA,1
"What is the primary site of action for loop diuretics?",Distal convoluted tubule,Thick ascending limb of loop of Henle,Collecting duct,Proximal tubule,1
"Which drug is contraindicated in patients with G6PD deficiency?",Penicillin,Primaquine,Metformin,Aspirin,1
"What is the mechanism of action of omeprazole?",H2 receptor antagonist,Proton pump inhibitor,Antacid,Prostaglandin analog,1
"Which drug can cause ototoxicity and nephrotoxicity?",Penicillin,Gentamicin,Metronidazole,Chloramphenicol,1
"What is the first-line treatment for mild to moderate hypertension?",Beta blockers,ACE inhibitors or ARBs,Calcium channel blockers,Diuretics,1
"Which drug is used to treat hyperthyroidism?",Levothyroxine,Methimazole,Prednisolone,Insulin,1
"What is the antidote for benzodiazepine overdose?",Naloxone,Flumazenil,Atropine,Physostigmine,1
"Which anticoagulant directly inhibits thrombin?",Warfarin,Dabigatran,Heparin,Aspirin,1
"What is the mechanism of action of digoxin?",Calcium channel blocker,Na+/K+ ATPase inhibitor,Beta blocker,ACE inhibitor,1
"Which drug is used to treat Parkinson's disease?",Haloperidol,Levodopa,Phenytoin,Carbamazepine,1
"What class of drug is amlodipine?",Beta blocker,Calcium channel blocker,ACE inhibitor,Diuretic,1
"Which drug can cause tardive dyskinesia?",Levodopa,Haloperidol,Phenytoin,Lithium,1
"What is the mechanism of action of beta blockers?",Block calcium channels,Block beta-adrenergic receptors,Block sodium channels,Block potassium channels,1
"Which drug is used to treat acute myocardial infarction?",Digoxin,Aspirin,Amlodipine,Furosemide,1
"What is the antidote for acetaminophen overdose?",Vitamin K,N-acetylcysteine,Naloxone,Flumazenil,1
"Which drug class includes morphine and codeine?",Benzodiazepines,Opioids,Barbiturates,NSAIDs,1
"What is the mechanism of action of statins?",Inhibit cholesterol absorption,Inhibit HMG-CoA reductase,Bind bile acids,Inhibit pancreatic lipase,1
"Which drug is used to treat epilepsy?",Haloperidol,Phenytoin,Digoxin,Metformin,1
"What is the primary indication for nitroglycerin?",Hypertension,Angina pectoris,Arrhythmias,Heart failure,1
"Which drug can cause hepatotoxicity at high doses?",Aspirin,Acetaminophen,Ibuprofen,Naproxen,1
"What is the mechanism of action of insulin?",Stimulates glucagon release,Facilitates glucose uptake,Inhibits glucose production,Blocks glucose absorption,1
"Which drug is used to treat bacterial meningitis?",Fluconazole,Ceftriaxone,Acyclovir,Metronidazole,1
"What class of drug is propranolol?",Alpha blocker,Beta blocker,Calcium channel blocker,ACE inhibitor,1
"Which drug is contraindicated in pregnancy category X?",Penicillin,Isotretinoin,Metformin,Folic acid,1
"What is the mechanism of action of thiazide diuretics?",Block sodium reabsorption in collecting duct,Block sodium-chloride cotransporter in DCT,Block sodium reabsorption in loop of Henle,Block carbonic anhydrase,1
"Which drug is used to treat GERD?",Metoclopramide,Omeprazole,Loperamide,Simethicone,1
"What is the antidote for organophosphate poisoning?",Naloxone,Atropine,Flumazenil,Physostigmine,1
"Which drug can cause cinchonism?",Digoxin,Quinidine,Procainamide,Lidocaine,1
"What is the mechanism of action of penicillin?",Inhibits protein synthesis,Inhibits cell wall synthesis,Inhibits DNA replication,Inhibits folate synthesis,1
"Which drug is used to treat tuberculosis?",Amoxicillin,Isoniazid,Fluconazole,Acyclovir,1
"What class of drug is metoprolol?",Alpha-1 blocker,Beta-1 selective blocker,Non-selective beta blocker,Calcium channel blocker,1
"Which drug can cause peripheral neuropathy?",Penicillin,Isoniazid,Aspirin,Acetaminophen,1
"What is the mechanism of action of warfarin?",Inhibits platelet aggregation,Inhibits vitamin K epoxide reductase,Directly inhibits thrombin,Activates antithrombin III,1
"Which drug is used to treat allergic reactions?",Prednisone,Diphenhydramine,Albuterol,Epinephrine,1
"What is the primary side effect of ACE inhibitors?",Hyperkalemia,Dry cough,Peripheral edema,Constipation,1
"Which drug is used to treat glaucoma?",Atropine,Pilocarpine,Tropicamide,Cyclopentolate,1
"What class of drug is verapamil?",Beta blocker,Calcium channel blocker,Sodium channel blocker,Potassium channel blocker,1
"Which drug can cause agranulocytosis?",Penicillin,Clozapine,Aspirin,Metformin,1
"What is the mechanism of action of allopurinol?",Inhibits uric acid absorption,Inhibits xanthine oxidase,Enhances uric acid excretion,Converts uric acid to allantoin,1
"Which drug is used to treat bipolar disorder?",Haloperidol,Lithium,Phenytoin,Carbamazepine,1
"What is the antidote for iron poisoning?",EDTA,Deferoxamine,Dimercaprol,Penicillamine,1
"Which drug class includes lorazepam and diazepam?",Barbiturates,Benzodiazepines,Z-drugs,Antihistamines,1
"What is the mechanism of action of furosemide?",Blocks sodium channels in DCT,Blocks sodium-potassium-chloride cotransporter,Blocks aldosterone receptors,Blocks carbonic anhydrase,1
"Which drug is used to treat motion sickness?",Ondansetron,Scopolamine,Metoclopramide,Domperidone,1
"What class of drug is losartan?",ACE inhibitor,Angiotensin receptor blocker,Beta blocker,Calcium channel blocker,1
"Which drug can cause blue-gray skin discoloration?",Quinidine,Amiodarone,Procainamide,Flecainide,1
"What is the mechanism of action of phenytoin?",Blocks calcium channels,Blocks sodium channels,Enhances GABA activity,Blocks potassium channels,1
"Which drug is used to treat migraine prophylaxis?",Sumatriptan,Propranolol,Ergotamine,Rizatriptan,1
"What is the primary indication for epinephrine?",Hypertension,Anaphylaxis,Asthma,Cardiac arrest,1
"Which drug can cause Stevens-Johnson syndrome?",Penicillin,Carbamazepine,Aspirin,Metformin,1
"What class of drug is spironolactone?",Loop diuretic,Potassium-sparing diuretic,Thiazide diuretic,Carbonic anhydrase inhibitor,1
"Which drug is used to treat Alzheimer's disease?",Memantine,Donepezil,Rivastigmine,Galantamine,1
"What is the mechanism of action of clopidogrel?",Blocks COX enzymes,Blocks P2Y12 receptors,Inhibits thromboxane synthesis,Activates plasminogen,1
"Which drug can cause lupus-like syndrome?",Penicillin,Procainamide,Digoxin,Furosemide,1
"What is the antidote for methanol poisoning?",Naloxone,Ethanol or fomepizole,Atropine,Flumazenil,1
"Which drug class includes sertraline and fluoxetine?",TCAs,SSRIs,MAOIs,SNRIs,1
"What is the mechanism of action of heparin?",Inhibits vitamin K synthesis,Activates antithrombin III,Blocks platelet receptors,Inhibits fibrinogen synthesis,1
"Which drug is used to treat chronic heart failure?",Nifedipine,Enalapril,Verapamil,Diltiazem,1
"What class of drug is chlorpromazine?",Atypical antipsychotic,Typical antipsychotic,Antidepressant,Mood stabilizer,1
"Which drug can cause orange-red discoloration of body fluids?",Isoniazid,Rifampin,Ethambutol,Streptomycin,1
"What is the mechanism of action of levodopa?",Dopamine receptor agonist,Dopamine precursor,MAO-B inhibitor,COMT inhibitor,1
"Which drug is used to treat hyperlipidemia?",Gemfibrozil,Atorvastatin,Niacin,Ezetimibe,1
"What is the primary side effect of vancomycin?",Ototoxicity,Red man syndrome,Hepatotoxicity,Nephrotoxicity,1
"Which drug class includes morphine and fentanyl?",Benzodiazepines,Opioid analgesics,Local anesthetics,Muscle relaxants,1
"What is the mechanism of action of aspirin?",Reversibly inhibits COX,Irreversibly inhibits COX,Blocks thromboxane receptors,Activates prostacyclin,1
"Which drug is used to treat osteoporosis?",Calcitonin,Alendronate,Teriparatide,Denosumab,1
"What class of drug is tramadol?",Pure opioid agonist,Atypical opioid analgesic,NSAID,Muscle relaxant,1
"Which drug can cause QT prolongation?",Amoxicillin,Erythromycin,Penicillin,Cephalexin,1
"What is the mechanism of action of methotrexate?",Inhibits DNA polymerase,Inhibits dihydrofolate reductase,Blocks purine synthesis,Intercalates with DNA,1
"Which drug is used to treat rheumatoid arthritis?",Aspirin,Methotrexate,Acetaminophen,Ibuprofen,1
"What is the antidote for digoxin toxicity?",Atropine,Digoxin-specific antibody fragments,Flumazenil,Naloxone,1
"Which drug class includes amlodipine and nifedipine?",Beta blockers,Calcium channel blockers,ACE inhibitors,Diuretics,1
"What is the mechanism of action of albuterol?",Alpha-2 agonist,Beta-2 agonist,Beta-1 agonist,Alpha-1 agonist,1
"Which drug is used to treat diabetes mellitus type 1?",Metformin,Insulin,Glipizide,Pioglitazone,1
"What class of drug is ketoconazole?",Antibiotic,Antifungal,Antiviral,Antiprotozoal,1
"Which drug can cause photosensitivity?",Penicillin,Tetracycline,Erythromycin,Vancomycin,1
"What is the mechanism of action of captopril?",Blocks angiotensin receptors,Inhibits angiotensin converting enzyme,Blocks calcium channels,Inhibits renin release,1
"Which drug is used to treat gout?",Aspirin,Colchicine,Acetaminophen,Ibuprofen,1
"What is the primary indication for atropine?",Glaucoma,Bradycardia and organophosphate poisoning,Hypertension,Asthma,1
"Which drug class includes haloperidol and chlorpromazine?",Atypical antipsychotics,Typical antipsychotics,Antidepressants,Anxiolytics,1
"What is the mechanism of action of hydrochlorothiazide?",Blocks aldosterone receptors,Blocks sodium-chloride cotransporter,Blocks sodium-potassium-chloride cotransporter,Blocks carbonic anhydrase,1
"Which drug is used to treat peptic ulcer disease?",Sucralfate,Omeprazole,Bismuth subsalicylate,Misoprostol,1
"What class of drug is ciprofloxacin?",Beta-lactam,Fluoroquinolone,Macrolide,Aminoglycoside,1
"Which drug can cause hearing loss?",Penicillin,Gentamicin,Metronidazole,Clindamycin,1
"What is the mechanism of action of prednisone?",Inhibits phospholipase A2,Binds to glucocorticoid receptors,Blocks histamine receptors,Inhibits cyclooxygenase,1
"Which drug is used to treat hypothyroidism?",Methimazole,Levothyroxine,Propylthiouracil,Iodine,1
"What is the antidote for copper poisoning?",Deferoxamine,Penicillamine,EDTA,Dimercaprol,1
"Which drug class includes sertraline and paroxetine?",TCAs,SSRIs,MAOIs,Atypical antidepressants,1
"What is the mechanism of action of nitroglycerin?",Blocks calcium channels,Releases nitric oxide,Blocks sodium channels,Activates potassium channels,1
"Which drug is used to treat alcohol withdrawal?",Haloperidol,Chlordiazepoxide,Phenytoin,Naltrexone,1
"What class of drug is atenolol?",Non-selective beta blocker,Selective beta-1 blocker,Alpha blocker,Calcium channel blocker,1
"Which drug can cause gingival hyperplasia?",Warfarin,Phenytoin,Digoxin,Furosemide,1
"What is the mechanism of action of succinylcholine?",Blocks sodium channels,Depolarizing neuromuscular blocker,Non-depolarizing neuromuscular blocker,GABA receptor agonist,1
"Which drug is used to treat bacterial endocarditis?",Fluconazole,Penicillin G,Acyclovir,Metronidazole,1
"What is the primary side effect of aminoglycosides?",Hepatotoxicity,Nephrotoxicity and ototoxicity,Cardiotoxicity,Pulmonary toxicity,1
"Which drug class includes clozapine and risperidone?",Typical antipsychotics,Atypical antipsychotics,Antidepressants,Mood stabilizers,1
"What is the mechanism of action of carbamazepine?",Enhances GABA activity,Blocks sodium channels,Blocks calcium channels,Blocks potassium channels,1
"Which drug is used to treat pulmonary embolism?",Aspirin,Heparin,Clopidogrel,Ticlopidine,1
"What class of drug is ranitidine?",Proton pump inhibitor,H2 receptor antagonist,Antacid,Prostaglandin analog,1
"Which drug can cause hyperkalemia?",Furosemide,Spironolactone,Hydrochlorothiazide,Acetazolamide,1

